index,category,plaintext,key,ciphertext
0,standard,3243F6A8885A308D313198A2E0370734,2B7E151628AED2A6ABF7158809CF4F3C,3925841D02DC09FBDC118597196A0B32
1,standard,00112233445566778899AABBCCDDEEFF,000102030405060708090A0B0C0D0E0F,69C4E0D86A7B0430D8CDB78070B4C55A
2,standard,00000000000000000000000000000000,00000000000000000000000000000000,66E94BD4EF8A2C3B884CFA59CA342B2E
3,standard,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,BCBF217CB280CF30B2517052193AB979
4,standard,00000000000000000000000000000000,80000000000000000000000000000000,0EDD33D3C621E546455BD8BA1418BEC8
5,standard,00000000000000000000000000000000,00800000000000000000000000000000,807D678FFF1F56FA92DE3381904842F2
6,standard,80000000000000000000000000000000,00000000000000000000000000000000,3AD78E726C1EC02B7EBFE92B23D9EC34
7,standard,00000000000000000000000000000001,00000000000000000000000000000000,58E2FCCEFA7E3061367F1D57A4E7455A
8,standard,F34481EC3CC627BACD5DC3FB08F273E6,00000000000000000000000000000000,0336763E966D92595A567CC9CE537F5E
9,standard,00000000000000000000000000000000,10A58869D74BE5A374CF867CFB473859,6D251E6944B051E04EAA6FB4DBF78465
10,edge_all_zeros,00000000000000000000000000000000,00000000000000000000000000000000,66E94BD4EF8A2C3B884CFA59CA342B2E
11,edge_all_ones,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,BCBF217CB280CF30B2517052193AB979
12,edge_pt_zero_key_ones,00000000000000000000000000000000,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,A1F6258C877D5FCD8964484538BFC92C
13,edge_pt_ones_key_zero,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,00000000000000000000000000000000,3F5B8CC9EA855A0AFA7347D23E8D664E
14,edge_pt_single_msb,80000000000000000000000000000000,00000000000000000000000000000000,3AD78E726C1EC02B7EBFE92B23D9EC34
15,edge_pt_single_lsb,00000000000000000000000000000001,00000000000000000000000000000000,58E2FCCEFA7E3061367F1D57A4E7455A
16,edge_key_single_msb,00000000000000000000000000000000,80000000000000000000000000000000,0EDD33D3C621E546455BD8BA1418BEC8
17,edge_key_single_lsb,00000000000000000000000000000000,00000000000000000000000000000001,0545AAD56DA2A97C3663D1432A3D1C84
18,edge_alternating_AA_55,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,55555555555555555555555555555555,4E194AC3FB1DA6291F5EBAB5743E96D4
19,edge_alternating_55_AA,55555555555555555555555555555555,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,5A7EFE3965060F8F531935F9EFB7BFC5
20,edge_incr_bytes,000102030405060708090A0B0C0D0E0F,101112131415161718191A1B1C1D1E1F,9C54D571702CFA0F03F36215676BAB78
21,edge_decr_bytes,F0E0D0C0B0A090807060504030201000,0F1E2D3C4B5A69788796A5B4C3D2E1F0,3292B7A697EE685BC3DD82A1576746DE
22,edge_pt_eq_key,0123456789ABCDEFFEDCBA9876543210,0123456789ABCDEFFEDCBA9876543210,A674F5A389253565260D08DCBED5C971
23,edge_repeating_ab_cd,ABABABABABABABABABABABABABABABAB,CDCDCDCDCDCDCDCDCDCDCDCDCDCDCDCD,A9E2A373B19F0AD7D5E59669059B9D07
24,edge_zero_pt_rich_key,00000000000000000000000000000000,DEADBEEFCAFEBABE0123456789ABCDEF,779909C2C772906F375D820F71B1A86D
25,edge_rich_pt_zero_key,CAFEBABE0DEFACED1234567890ABCDEF,00000000000000000000000000000000,DA1A4225595ACD4D52BDD5DDD21DADD5
26,edge_avalanche_base,00000000000000000000000000000000,2B7E151628AED2A6ABF7158809CF4F3C,7DF76B0C1AB899B33E42F047B91B546F
27,edge_avalanche_lsb_flip,00000000000000000000000000000001,2B7E151628AED2A6ABF7158809CF4F3C,57127D4034B1BEBFAEF466B9C7726FC6
28,edge_avalanche_key_lsb_flip,00000000000000000000000000000000,2B7E151628AED2A6ABF7158809CF4F3D,978E4F8F5A59C258AA01221F8B919085
29,edge_repeated_word,DEADBEEFDEADBEEFDEADBEEFDEADBEEF,CAFEBABECAFEBABECAFEBABECAFEBABE,CB1D9AE14068B441727EA9380D69F1FE
30,random,F985AFBF3C8C9B52073E6C6C6B97397E,9B360426F3FD5A1873DDE4CD99A22FB7,DC67C7DBB1BD7BFC0AC1AE45FDB094FA
31,random,C0FF288EF62A56ADD50EED56A9BB8222,A88642D9371C5DAD96031AE7F166FAA2,7C25F6ADA62F32E56742896E73D90230
32,random,96CD2682772E9042B457E93C952E88E5,740D940C250F993BA822C8B61CB8FC1F,A7396D297F569D01C60D3D3C1D949BF3
33,random,020B2B2058197A0A05C76CD749300308,0F0A81FDA8FA7AB5130F7E7B4088953F,BAD09C91A2CD65EE1F617F0BF7371169
34,random,E5D2F59EE4DDF763A87E358CA58C5D06,42CDA56AC51578C92BF9248A1AA665C4,6DFCF427D20C26991E3AAF666630FA66
35,random,7C53AD4ECF1263A4FFDD60B0ABF67F17,6468BA5589573D3AC3BE082D3E61C87A,7F155F145D013D220E68D5045D41B21A
36,random,121947007889FAE9A2DECEE966992BF3,E4481E123C7071EF14EBD3D16633B5E5,4A949E85F72D27D62E7598C00A1C1153
37,random,7B9842526734FC4273F9601AF61DB5DA,18DBCAD16D18237B6D4E23AF7F952AED,679E79CE3A81C2CFE7AF305EC79B656B
38,random,F018A123C4F39F5B0A5CFEFC992A0608,A2618DF0BFF8B7B706C5FB56FAE909F7,98C4C32BBFD763F5074B0A3E09568A07
39,random,3AD871107A4A208B5D9999C010FE6177,9EF11FCC7F597EEE6247DF60DF75A2D0,40098ACF8C707B7F62C161F9AD55F7F6
40,random,79703EB30C521419AA3B60E1E3298126,EEA5722AEF37AB89BFA674707D06F2A3,2378B08CEE4344153040B2B4BBE20B59
41,random,F855A80877713BEA27FF84966C577D26,8DEB09FE4BAB1C14C24F2B04222C8528,69E1C27E43E838F38853869CF508CB7C
42,random,A51FF49847A5759834F86FCF6E5EFFF3,485054554727C01D3D3417F04CC1A3F6,3DEAA81172B14B4572ABE58D3B386F8C
43,random,CB4009D8406A85B1D64BABDBAEE54D2D,3968DC52E930D7D12FA0A3536F92F9BC,615A18F5DECE6197020E455BAA4ED69A
44,random,0C7B1D44CB24D2E6AFC90FF32AB858E7,5A5DB30315C756F808674BC06366C221,CCB101D0F8160EB6D5F80138716A1F21
45,random,F4CB629A540D7E8DD2619401CBA33C65,5C4AD11E160B410ACFAB8C6835DC58E2,998A7F7FDF48B6F07959DA4FFB363E1D
46,random,D6FD36587F00F0905D01AC5D5348C1DD,7A7713974EAFA26DDFB77E32D6C056D6,74CC07DB3ADCBABE4EE04E814BCA5DB1
47,random,B2E1F3D29FD7AA95C4D228F2070FE6FC,F00CC2F95843F8D73C5DB819C855949A,A163D9AA8B6804A5AE4D7D2BE1472F80
48,random,B3D7B960890136CB57C5DF1C71EBB5F8,6051DCF2472D3FC13A2903C07C4D77B9,2730014C38B9AA65CCECF5AEB7C36B2E
49,random,AC448769FE56006C975776CB31177509,369F913570E58F5556038862F9BE1DC6,E205EE7958A2F0E687328986B5C54F57
50,random,D12784D5458297EB234B12B51F25D621,F828584B3E4A936145E580694B5AD066,330538A2879067F4F14DF53621CFAB49
51,random,ADC2B1E02CB201FC984C3BC51D74C077,7156547EAEB787F2FA597421AEB6BD0D,7E8EDD2F5BED05049443F9BF50758A20
52,random,87D07B3D83FE043BF25C06E34CC0D904,4E9C6D27E7E060C45B7EBF8837B6A087,F31D04035A31209208161F60FCC84533
53,random,267C033100725218AF676392E6015224,4AF9FD4C97BBE2B105CD5C9A0A4EEAF9,1306D6DA8AE37EDEEAC4A6F259264FC4
54,random,EE64D3642F81E74FC24EF15B1C3DD48D,A87FDC58FF9BC6C8038355CD4311DA20,54E99EC91FF80B6C37A1811104CC92A4
55,random,E8F1CBAEDEC6EF72396B7F430B7BF769,FA88FDEF18E4E6FBBDBF72C642B1853A,0215C01EC49DF920C34D497B98D9DCCE
56,random,5875984548EB96269EE67EFD96EB2749,C1DDDE5412CCC509C78C1D2D6CEAF4FE,5443782CE5C56AE962CC1FBC3E8580BD
57,random,657776B78F54F0659868C0A9464344B9,E1CF45C53D265A9A2B311E2B7CAD96EC,B83DDC634D6D519356D6EEBA29C611B2
58,random,0D6B048C11C27B219E6E678D35FAF33D,D3118D8A67F5E4245D7E1FBD1052FC96,355348542E3B17F2024831F3532828DF
59,random,61FE78DE1C8F111610CA4737E82E1DB9,723C3B2714770D5915FC84DF22C8DA8E,66F2E1B811879FFCB02966A770F87FB8
60,random,00B14543475D01EE3F6B93C9E500DB11,450D98884E086F00019974C08A2E6830,8896A711C711CE1149EB71D8CB289885
61,random,C2F09588F27D148E27E103230B2385FD,EC426DB43454F3CE804C65A5AA601C78,126C26FB338FE3CB11ADA83344E4DD12
62,random,2EB41548710DA6B1DF19B792D2950B38,0E4FB6D588A3F6C1EE32470FF702C8C9,A944B5049C27280BA04989577E965A5B
63,random,5D2302C94972894D8DF88804DEACF2DD,7E0E017B532462199561FE93998781A7,4AE5499182C5E61069062D9BFDFBE9F9
64,random,A639596E56E81CE3926B35B51EA1D264,5E7737D7F40062C1EAFE98A7A02609EF,91A03D2504E4162DA106D9F16635DE89
65,random,440D6C2F53140EDCB99EA9EA62A552F4,E71412231F792B3493CA4802D110ED45,1AC89D07DEF6F360F74B6ECE60CBEC1B
66,random,2913A11831E34A22A49A4896624FA9B9,39FAEFD04E21865826A00EE5AC39E179,36D81B33FD809428622F0A00DDA19ACB
67,random,570731D253A0295A87B40979FC20E17E,64D0B72DEE5141B5101CD283A20E9AF6,69813B933C676554C73BB286AA8C8D98
68,random,FEA7A6743513174C6C4693048B07BB1B,D5523CBA1AC6B777B4474A7E7D64B4CC,59D8574AECC2F8D8E9CA11EDA539E596
69,random,DFD476B163F5CE48CF138A87E33DAC9B,BB38D5AEAF4D873686E1C440C4BC4D0C,8F226B37EAD972FDA4720ABEDB6DB59F
70,random,82A58D065F34139EF5C8FA6CDFD749E8,74724BD05ADAD416CEE81D2A9E1A0246,1399971185B9F7988ED0A87DEDE3C582
71,random,075D8851ABFF8224C5ECACB7C878E5C5,41E2A34F3C01D12CA7E0281289FDFD3A,AF5C2AD8BFAB6E201D27A1073EEC629A
72,random,1838C0867DE6685B8CBE5BF14DA98F81,9E6E0DF0FD1DC1BE7CAB6B9B41DAFC85,BADB839D0C4095F4A7479B0317DDAF37
73,random,BE099C5D637D8825012AF234D93A8056,EC00BC28EF2EE5E0BF65B00E2CE49BFA,F826BE9DF22B57C9907B4EA5F04B6B3A
74,random,E4364048FE6D1A8A67F5EA4515270D9C,5CA0F73308A99B45F938F6B548FAA890,70FEA2DE07A3ADC3E28E13F82E0BCAEB
75,random,D240AEA015B3D74D0C3B96F1C5D5C6B4,87B47245B2938D1BFD468F9BA2D28DB0,DA7710F1C35FD4529DF1A0ECF5C1360A
76,random,C508EB4E07EDD7E958A6FD198BBCB735,5A33BBB6CD6C154BA07756ECC556458F,DA901D6A26C30F7B63BAAA1DDBE6D7C2
77,random,223F30FB58E8CD50906DC643ABC7F177,C46E5BFC6A45D030DA8C250C55E358FE,871088030F387AD0235CCFAD5046BFE8
78,random,61BD56226BBB1F3B95BDB0187230CC2A,FF8D3DA787939C23E31E4D543F018380,7AC615F513B87A8F9B43390E0132343F
79,random,4412C97375E8103F9E6F10B8716F9533,31C8CFC419F1CF72A31C6AA7EA31EBC5,18761A2F1793B27318D64F32952D0BBB
80,random,0B79DB22699DEB57F89047996A15CC4B,F0F18751B8C5148D055E415B3F746136,7C578A0F9FDF374E7B7808A93DCB01F2
81,random,28C35E498F8387A37428D83AE3F4964F,3B0E25A4CBA3959572DB22BC6EAF681C,84075BA0325E317FA4EDCFF1F8E4EC03
82,random,4C27222948C71E5D018F46F34013D9BF,CD6C2CD916076EB10CA485DB77B5D1BD,6953D29CB24D94D83C18105906C69541
